,News,Compound Score,Tweets Ago
227,CNN,0.7184,28
228,CNN,0.4404,29
229,CNN,0.508,30
230,CNN,0.3365,31
231,CNN,0.743,32
232,CNN,-0.5859,33
233,CNN,0.4019,34
234,CNN,0.0,35
235,CNN,0.5574,36
236,CNN,-0.4767,37
237,CNN,0.0,38
238,CNN,0.5267,39
239,CNN,0.0,40
240,CNN,0.0,41
241,CNN,0.0,42
242,CNN,0.2748,43
243,CNN,-0.9081,44
244,CNN,0.2023,45
245,CNN,-0.3182,46
246,CNN,0.6705,47
247,CNN,0.6105,48
248,CNN,-0.872,49
249,CNN,-0.0274,50
250,CNN,-0.6908,51
251,CNN,-0.0258,52
252,CNN,-0.5267,53
253,CNN,0.0,54
254,CNN,0.4404,55
255,CNN,-0.5994,56
256,CNN,-0.6705,57
257,CNN,0.34,58
258,CNN,0.0,59
259,CNN,-0.0258,60
260,CNN,0.4019,61
261,CNN,-0.0274,62
262,CNN,0.8591,63
263,CNN,0.6486,64
264,CNN,0.0,65
265,CNN,0.6705,66
266,CNN,0.0,67
267,CNN,0.0,68
268,CNN,0.0,69
269,CNN,0.0,70
270,CNN,0.2023,71
271,CNN,0.5256,72
272,CNN,0.0,73
273,CNN,0.5574,74
274,CNN,0.0,75
275,CNN,0.25,76
276,CNN,0.0,77
277,CNN,0.0,78
278,CNN,0.024,79
279,CNN,0.7003,80
280,CNN,0.0,81
281,CNN,0.0,82
282,CNN,0.0,83
283,CNN,0.0,84
284,CNN,0.6705,85
285,CNN,-0.7351,86
286,CNN,-0.6705,87
287,CNN,-0.128,88
288,CNN,0.6105,89
289,CNN,0.8591,90
290,CNN,-0.5267,91
291,CNN,-0.0258,92
292,CNN,-0.0274,93
293,CNN,-0.5574,94
294,CNN,-0.6908,95
295,CNN,0.5574,96
296,CNN,0.0,97
297,CNN,0.0,98
298,CNN,0.0,99
299,CNN,-0.4767,100
300,Fox News,-0.296,1
301,Fox News,0.0,2
302,Fox News,0.4404,3
303,Fox News,0.5764,4
304,Fox News,0.4019,5
305,Fox News,0.7178,6
306,Fox News,0.4404,7
307,Fox News,-0.1603,8
308,Fox News,-0.6124,9
309,Fox News,-0.25,10
310,Fox News,0.743,11
311,Fox News,-0.4404,12
312,Fox News,0.0,13
313,Fox News,0.3818,14
314,Fox News,0.0,15
315,Fox News,0.0772,16
316,Fox News,0.0,17
317,Fox News,0.4019,18
318,Fox News,0.5574,19
319,Fox News,0.4588,20
320,Fox News,-0.296,21
321,Fox News,0.0,22
322,Fox News,0.4404,23
323,Fox News,0.5764,24
324,Fox News,0.4019,25
325,Fox News,0.7178,26
326,Fox News,0.4404,27
327,Fox News,-0.1603,28
328,Fox News,-0.6124,29
329,Fox News,-0.25,30
330,Fox News,0.743,31
331,Fox News,-0.4404,32
332,Fox News,0.0,33
333,Fox News,0.3818,34
334,Fox News,0.0,35
335,Fox News,0.0772,36
336,Fox News,0.0,37
337,Fox News,0.4019,38
338,Fox News,0.5574,39
339,Fox News,0.4588,40
340,Fox News,0.0387,41
341,Fox News,0.0,42
342,Fox News,0.0,43
343,Fox News,0.0,44
344,Fox News,-0.8176,45
345,Fox News,-0.5994,46
346,Fox News,0.0,47
347,Fox News,0.0772,48
348,Fox News,-0.0258,49
349,Fox News,0.0,50
350,Fox News,-0.4939,51
351,Fox News,0.4939,52
352,Fox News,0.2023,53
353,Fox News,0.0,54
354,Fox News,0.5267,55
355,Fox News,0.7906,56
356,Fox News,0.0,57
357,Fox News,0.624,58
358,Fox News,0.6204,59
359,Fox News,0.0772,60
360,Fox News,0.8519,61
361,Fox News,0.0,62
362,Fox News,-0.5982,63
363,Fox News,-0.128,64
364,Fox News,0.4588,65
365,Fox News,0.0,66
366,Fox News,0.0,67
367,Fox News,-0.296,68
368,Fox News,-0.2584,69
369,Fox News,0.0,70
370,Fox News,0.5574,71
371,Fox News,0.4019,72
372,Fox News,0.4019,73
373,Fox News,0.7717,74
374,Fox News,0.0,75
375,Fox News,0.0,76
376,Fox News,0.0,77
377,Fox News,0.5574,78
378,Fox News,0.5574,79
379,Fox News,0.0,80
380,Fox News,0.2263,81
381,Fox News,0.1901,82
382,Fox News,-0.2732,83
383,Fox News,0.09,84
384,Fox News,0.0,85
385,Fox News,-0.5719,86
386,Fox News,-0.1531,87
387,Fox News,0.0,88
388,Fox News,0.0,89
389,Fox News,0.7269,90
390,Fox News,0.5719,91
391,Fox News,0.5574,92
392,Fox News,0.4019,93
393,Fox News,0.0,94
394,Fox News,0.0,95
395,Fox News,-0.4404,96
396,Fox News,-0.4404,97
397,Fox News,0.0,98
398,Fox News,0.5719,99
399,Fox News,0.3818,100
400,The New York Times,0.8519,1
401,The New York Times,0.5346,2
402,The New York Times,0.8126,3
403,The New York Times,0.0,4
404,The New York Times,0.0,5
405,The New York Times,0.5927,6
406,The New York Times,0.0,7
407,The New York Times,0.8591,8
408,The New York Times,0.0,9
409,The New York Times,0.5774,10
410,The New York Times,0.0,11
411,The New York Times,0.0,12
412,The New York Times,0.0,13
413,The New York Times,0.4404,14
414,The New York Times,-0.8176,15
415,The New York Times,0.0,16
416,The New York Times,0.0,17
417,The New York Times,0.0,18
418,The New York Times,-0.2263,19
419,The New York Times,0.0,20
420,The New York Times,0.8519,21
421,The New York Times,0.5346,22
422,The New York Times,0.8126,23
423,The New York Times,0.0,24
424,The New York Times,0.0,25
425,The New York Times,0.5927,26
426,The New York Times,0.0,27
427,The New York Times,0.8591,28
428,The New York Times,0.0,29
429,The New York Times,0.5774,30
430,The New York Times,0.0,31
431,The New York Times,0.0,32
432,The New York Times,0.0,33
433,The New York Times,0.4404,34
434,The New York Times,-0.8176,35
435,The New York Times,0.0,36
436,The New York Times,0.0,37
437,The New York Times,0.0,38
438,The New York Times,-0.2263,39
439,The New York Times,0.0,40
440,The New York Times,0.0,41
441,The New York Times,0.3818,42
442,The New York Times,0.0,43
443,The New York Times,0.0,44
444,The New York Times,-0.5267,45
445,The New York Times,0.0,46
446,The New York Times,0.6369,47
447,The New York Times,0.6582,48
448,The New York Times,0.5859,49
449,The New York Times,0.6369,50
450,The New York Times,-0.6486,51
451,The New York Times,0.5789,52
452,The New York Times,0.6249,53
453,The New York Times,-0.296,54
454,The New York Times,-0.2023,55
455,The New York Times,-0.1779,56
456,The New York Times,0.5574,57
457,The New York Times,-0.3182,58
458,The New York Times,0.0,59
459,The New York Times,-0.3447,60
460,The New York Times,-0.296,61
461,The New York Times,0.0,62
462,The New York Times,0.0,63
463,The New York Times,0.34,64
464,The New York Times,-0.4215,65
465,The New York Times,0.0,66
466,The New York Times,0.0,67
467,The New York Times,0.0,68
468,The New York Times,0.4019,69
469,The New York Times,0.0,70
470,The New York Times,-0.6369,71
471,The New York Times,-0.4939,72
472,The New York Times,-0.5859,73
473,The New York Times,0.0,74
474,The New York Times,0.0,75
475,The New York Times,0.7506,76
476,The New York Times,0.2263,77
477,The New York Times,0.0,78
478,The New York Times,0.0,79
479,The New York Times,-0.8316,80
480,The New York Times,-0.93,81
481,The New York Times,0.0,82
482,The New York Times,-0.5423,83
483,The New York Times,0.8591,84
484,The New York Times,0.0,85
485,The New York Times,-0.3412,86
486,The New York Times,-0.4215,87
487,The New York Times,0.1531,88
488,The New York Times,0.4939,89
489,The New York Times,0.3612,90
490,The New York Times,0.7351,91
491,The New York Times,0.0,92
492,The New York Times,0.0,93
493,The New York Times,0.2023,94
494,The New York Times,-0.4939,95
495,The New York Times,-0.7717,96
496,The New York Times,0.0,97
497,The New York Times,-0.7845,98
498,The New York Times,0.4767,99
499,The New York Times,-0.1027,100
